Image[38,186] - Red: 255, Green: 254, Blue: 254
Image[38,187] - Red: 255, Green: 223, Blue: 223
Image[38,188] - Red: 255, Green: 223, Blue: 223
Image[38,189] - Red: 255, Green: 232, Blue: 232
Image[38,190] - Red: 255, Green: 208, Blue: 208
Image[38,191] - Red: 255, Green: 152, Blue: 152
Image[38,192] - Red: 255, Green: 89, Blue: 89
Image[38,193] - Red: 255, Green: 59, Blue: 59
Image[38,194] - Red: 255, Green: 74, Blue: 74
Image[38,195] - Red: 255, Green: 59, Blue: 59
Image[38,196] - Red: 255, Green: 110, Blue: 110
Image[38,197] - Red: 255, Green: 152, Blue: 152
Image[38,198] - Red: 255, Green: 190, Blue: 190
Image[38,199] - Red: 255, Green: 232, Blue: 232
Image[38,200] - Red: 255, Green: 232, Blue: 232
Image[38,201] - Red: 255, Green: 232, Blue: 232
Image[38,202] - Red: 253, Green: 250, Blue: 252
Image[39,182] - Red: 253, Green: 247, Blue: 245
Image[39,183] - Red: 255, Green: 232, Blue: 232
Image[39,184] - Red: 255, Green: 190, Blue: 190
Image[39,185] - Red: 255, Green: 110, Blue: 110
Image[39,186] - Red: 255, Green: 110, Blue: 110
Image[39,187] - Red: 255, Green: 38, Blue: 38
Image[39,188] - Red: 255, Green: 0, Blue: 0
Image[39,189] - Red: 255, Green: 0, Blue: 0
Image[39,190] - Red: 255, Green: 0, Blue: 0
Image[39,191] - Red: 255, Green: 0, Blue: 0
Image[39,192] - Red: 255, Green: 0, Blue: 0
Image[39,193] - Red: 255, Green: 0, Blue: 0
Image[39,194] - Red: 255, Green: 0, Blue: 0
Image[39,195] - Red: 255, Green: 0, Blue: 0
Image[39,196] - Red: 255, Green: 0, Blue: 0
Image[39,197] - Red: 255, Green: 0, Blue: 0
Image[39,198] - Red: 255, Green: 0, Blue: 0
Image[39,199] - Red: 255, Green: 0, Blue: 0
Image[39,200] - Red: 255, Green: 0, Blue: 0
Image[39,201] - Red: 255, Green: 18, Blue: 18
Image[39,202] - Red: 255, Green: 110, Blue: 110
Image[39,203] - Red: 255, Green: 110, Blue: 110
Image[39,204] - Red: 255, Green: 190, Blue: 190
Image[39,205] - Red: 255, Green: 223, Blue: 223
Image[39,206] - Red: 253, Green: 250, Blue: 252
Image[40,179] - Red: 255, Green: 254, Blue: 254
Image[40,180] - Red: 255, Green: 223, Blue: 223
Image[40,181] - Red: 255, Green: 174, Blue: 174
Image[40,182] - Red: 255, Green: 89, Blue: 89
Image[40,183] - Red: 255, Green: 18, Blue: 18
Image[40,184] - Red: 255, Green: 0, Blue: 0
Image[40,185] - Red: 255, Green: 0, Blue: 0
Image[40,186] - Red: 255, Green: 0, Blue: 0
Image[40,187] - Red: 255, Green: 0, Blue: 0
Image[40,188] - Red: 255, Green: 0, Blue: 0
Image[40,189] - Red: 255, Green: 0, Blue: 0
Image[40,190] - Red: 255, Green: 0, Blue: 0
Image[40,191] - Red: 255, Green: 0, Blue: 0
Image[40,192] - Red: 255, Green: 0, Blue: 0
Image[40,193] - Red: 255, Green: 0, Blue: 0
Image[40,194] - Red: 255, Green: 0, Blue: 0
Image[40,195] - Red: 255, Green: 0, Blue: 0
Image[40,196] - Red: 255, Green: 0, Blue: 0
Image[40,197] - Red: 255, Green: 0, Blue: 0
Image[40,198] - Red: 255, Green: 0, Blue: 0
Image[40,199] - Red: 255, Green: 0, Blue: 0
Image[40,200] - Red: 255, Green: 0, Blue: 0
Image[40,201] - Red: 255, Green: 0, Blue: 0
Image[40,202] - Red: 255, Green: 0, Blue: 0
Image[40,203] - Red: 255, Green: 0, Blue: 0
Image[40,204] - Red: 255, Green: 0, Blue: 0
Image[40,205] - Red: 255, Green: 18, Blue: 18
Image[40,206] - Red: 255, Green: 89, Blue: 89
Image[40,207] - Red: 255, Green: 174, Blue: 174
Image[40,208] - Red: 255, Green: 208, Blue: 208
Image[40,209] - Red: 253, Green: 250, Blue: 252
Image[41,177] - Red: 253, Green: 250, Blue: 252
Image[41,178] - Red: 255, Green: 223, Blue: 223
Image[41,179] - Red: 255, Green: 110, Blue: 110
Image[41,180] - Red: 255, Green: 0, Blue: 0
Image[41,181] - Red: 255, Green: 0, Blue: 0
Image[41,182] - Red: 255, Green: 0, Blue: 0
Image[41,183] - Red: 255, Green: 0, Blue: 0
Image[41,184] - Red: 255, Green: 0, Blue: 0
Image[41,185] - Red: 255, Green: 0, Blue: 0
Image[41,186] - Red: 255, Green: 0, Blue: 0
Image[41,187] - Red: 255, Green: 0, Blue: 0
Image[41,188] - Red: 255, Green: 0, Blue: 0
Image[41,189] - Red: 255, Green: 0, Blue: 0
Image[41,190] - Red: 255, Green: 0, Blue: 0
Image[41,191] - Red: 255, Green: 0, Blue: 0
Image[41,192] - Red: 255, Green: 0, Blue: 0
Image[41,193] - Red: 255, Green: 0, Blue: 0
Image[41,194] - Red: 255, Green: 0, Blue: 0
Image[41,195] - Red: 255, Green: 0, Blue: 0
Image[41,196] - Red: 255, Green: 0, Blue: 0
Image[41,197] - Red: 255, Green: 0, Blue: 0
Image[41,198] - Red: 255, Green: 0, Blue: 0
Image[41,199] - Red: 255, Green: 0, Blue: 0
Image[41,200] - Red: 255, Green: 0, Blue: 0
Image[41,201] - Red: 255, Green: 0, Blue: 0
Image[41,202] - Red: 255, Green: 0, Blue: 0
Image[41,203] - Red: 255, Green: 0, Blue: 0
Image[41,204] - Red: 255, Green: 0, Blue: 0
Image[41,205] - Red: 255, Green: 0, Blue: 0
Image[41,206] - Red: 255, Green: 0, Blue: 0
Image[41,207] - Red: 255, Green: 0, Blue: 0
Image[41,208] - Red: 255, Green: 0, Blue: 0
Image[41,209] - Red: 255, Green: 89, Blue: 89
Image[41,210] - Red: 255, Green: 190, Blue: 190
Image[41,211] - Red: 253, Green: 247, Blue: 245
Image[42,175] - Red: 253, Green: 250, Blue: 252
Image[42,176] - Red: 255, Green: 208, Blue: 208
Image[42,177] - Red: 255, Green: 89, Blue: 89
Image[42,178] - Red: 255, Green: 0, Blue: 0
Image[42,179] - Red: 255, Green: 0, Blue: 0
Image[42,180] - Red: 255, Green: 0, Blue: 0
Image[42,181] - Red: 255, Green: 0, Blue: 0
Image[42,182] - Red: 255, Green: 0, Blue: 0
Image[42,183] - Red: 255, Green: 0, Blue: 0
Image[42,184] - Red: 255, Green: 0, Blue: 0
Image[42,185] - Red: 255, Green: 0, Blue: 0
Image[42,186] - Red: 255, Green: 0, Blue: 0
Image[42,187] - Red: 255, Green: 0, Blue: 0
Image[42,188] - Red: 255, Green: 0, Blue: 0
Image[42,189] - Red: 255, Green: 0, Blue: 0
Image[42,190] - Red: 255, Green: 0, Blue: 0
Image[42,191] - Red: 255, Green: 0, Blue: 0
Image[42,192] - Red: 255, Green: 0, Blue: 0
Image[42,193] - Red: 255, Green: 0, Blue: 0
Image[42,194] - Red: 255, Green: 0, Blue: 0
Image[42,195] - Red: 255, Green: 0, Blue: 0
Image[42,196] - Red: 255, Green: 0, Blue: 0
Image[42,197] - Red: 255, Green: 0, Blue: 0
Image[42,198] - Red: 255, Green: 0, Blue: 0
Image[42,199] - Red: 255, Green: 0, Blue: 0
Image[42,200] - Red: 255, Green: 0, Blue: 0
Image[42,201] - Red: 255, Green: 0, Blue: 0
Image[42,202] - Red: 255, Green: 0, Blue: 0
Image[42,203] - Red: 255, Green: 0, Blue: 0
Image[42,204] - Red: 255, Green: 0, Blue: 0
Image[42,205] - Red: 255, Green: 0, Blue: 0
Image[42,206] - Red: 255, Green: 0, Blue: 0
Image[42,207] - Red: 255, Green: 0, Blue: 0
Image[42,208] - Red: 255, Green: 0, Blue: 0
Image[42,209] - Red: 255, Green: 0, Blue: 0
Image[42,210] - Red: 255, Green: 0, Blue: 0
Image[42,211] - Red: 255, Green: 59, Blue: 59
Image[42,212] - Red: 255, Green: 174, Blue: 174
Image[42,213] - Red: 253, Green: 250, Blue: 252
Image[43,174] - Red: 255, Green: 223, Blue: 223
Image[43,175] - Red: 255, Green: 89, Blue: 89
Image[43,176] - Red: 255, Green: 0, Blue: 0
Image[43,177] - Red: 255, Green: 0, Blue: 0
Image[43,178] - Red: 255, Green: 0, Blue: 0
Image[43,179] - Red: 255, Green: 0, Blue: 0
Image[43,180] - Red: 255, Green: 0, Blue: 0
Image[43,181] - Red: 255, Green: 0, Blue: 0
Image[43,182] - Red: 255, Green: 0, Blue: 0
Image[43,183] - Red: 255, Green: 0, Blue: 0
Image[43,184] - Red: 255, Green: 0, Blue: 0
Image[43,185] - Red: 255, Green: 0, Blue: 0
Image[43,186] - Red: 255, Green: 0, Blue: 0
Image[43,187] - Red: 255, Green: 0, Blue: 0
Image[43,188] - Red: 255, Green: 0, Blue: 0
Image[43,189] - Red: 255, Green: 0, Blue: 0
Image[43,190] - Red: 255, Green: 0, Blue: 0
Image[43,191] - Red: 255, Green: 0, Blue: 0
Image[43,192] - Red: 255, Green: 0, Blue: 0
Image[43,193] - Red: 255, Green: 0, Blue: 0
Image[43,194] - Red: 255, Green: 0, Blue: 0
Image[43,195] - Red: 255, Green: 0, Blue: 0
Image[43,196] - Red: 255, Green: 0, Blue: 0
Image[43,197] - Red: 255, Green: 0, Blue: 0
Image[43,198] - Red: 255, Green: 0, Blue: 0
